B1,B2,B3,B4,B5,B6,B7,FAPAR,LAI
0.037947,0.14259,0.019247,0.035726,0.1154,0.082604,0.035978,0.174097,1.302
0.072814,0.20171,0.038876,0.058906,0.25791,0.24577,0.1935,0.207218,1.3247
0.035602,0.056253,0.016971,0.033253,0.037955,0.024053,0.012986,0.0257906,0.19146
0.02115,0.042389,0.0099412,0.019963,0.026043,0.018958,0.0066285,0.0280984,0.21732
0.019614,0.032381,0.0082918,0.017522,0.018528,0.014861,0.0082946,0.00520388,0.037438
0.062137,0.090604,0.031954,0.051868,0.10443,0.10746,0.076799,0.017699,0.11872
0.020664,0.21179,0.011037,0.031931,0.17193,0.10623,0.044794,0.278058,2.2047
0.035878,0.051413,0.018437,0.034302,0.034664,0.030018,0.023498,0.0181049,0.15366
0.076662,0.13219,0.039365,0.066297,0.14503,0.14115,0.09739,0.0566621,0.3001
0.012527,0.052133,0.0063015,0.012232,0.041546,0.026502,0.0099229,0.0898667,0.79287
0.079941,0.19359,0.0441,0.072798,0.1917,0.16068,0.12244,0.318428,1.8893
0.076247,0.18989,0.042128,0.066583,0.19208,0.16998,0.12907,0.178805,0.61718
0.040928,0.097034,0.019077,0.042981,0.061335,0.037102,0.016497,0.0706299,0.67101
0.056947,0.12463,0.02693,0.050932,0.10538,0.068669,0.03841,0.0763433,0.2581
0.034311,0.064829,0.017236,0.032421,0.046108,0.035749,0.017675,0.0205161,0.18372
0.13506,0.2417,0.049533,0.094068,0.29049,0.27559,0.19589,0.118228,0.83076
0.079379,0.11847,0.041241,0.065083,0.13472,0.1492,0.10559,0.0265353,0.17264
0.14336,0.2011,0.079209,0.11324,0.2395,0.24081,0.20717,0.0124982,0.070765
0.059496,0.10551,0.027622,0.050543,0.11679,0.11646,0.077957,0.0345983,0.28343
0.033709,0.073599,0.016525,0.033159,0.085395,0.049819,0.018561,0.00688721,0.034372
0.044354,0.062142,0.022906,0.036442,0.073026,0.081007,0.070897,0.00238942,0.018755
0.012622,0.056243,0.0056048,0.016469,0.045103,0.029097,0.013435,0.0581251,0.42577
0.056813,0.26955,0.028926,0.065986,0.25063,0.18894,0.11313,0.320661,2.6371
0.13598,0.2645,0.049594,0.10126,0.30109,0.25536,0.16928,0.0614108,0.3389
0.055831,0.098148,0.025353,0.050312,0.08045,0.052677,0.03267,0.0441408,0.19914
0.054996,0.13303,0.029205,0.047301,0.1388,0.12241,0.084716,0.205216,1.25
0.068225,0.17686,0.03641,0.064381,0.17784,0.14787,0.089397,0.193281,1.0102
0.11318,0.23196,0.057423,0.091394,0.23091,0.21678,0.17159,0.237402,1.8253
0.043856,0.18692,0.020285,0.057682,0.14272,0.081409,0.029983,0.330924,2.6113
0.057495,0.1148,0.029745,0.048181,0.12377,0.11859,0.087999,0.070411,0.36861
0.023975,0.10045,0.013533,0.03318,0.081305,0.041473,0.015594,0.142846,0.70846
0.051874,0.16695,0.030617,0.046533,0.17461,0.14695,0.1036,0.190025,1.1699
0.03579,0.058513,0.017664,0.030476,0.039142,0.030967,0.015879,0.0386771,0.22629
0.051322,0.22811,0.029253,0.051716,0.20761,0.1527,0.080616,0.299431,2.3653
0.06284,0.14234,0.033496,0.061572,0.14348,0.12427,0.099628,0.148148,1.102
0.034084,0.09175,0.015983,0.038625,0.061971,0.040716,0.019994,0.1033549,0.7811
0.016297,0.11115,0.0085477,0.025279,0.086353,0.045023,0.01692,0.152669,1.3416
0.12226,0.1988,0.052443,0.088097,0.25284,0.26025,0.20975,0.0748506,0.52299
0.067356,0.12148,0.036329,0.058596,0.12832,0.12445,0.081255,0.0705606,0.49501
0.092384,0.26486,0.046261,0.092993,0.2532,0.21125,0.15097,0.246576,1.6524
0.040573,0.11813,0.020179,0.038073,0.091071,0.065573,0.027678,0.1019799,0.66165
0.043035,0.16943,0.022238,0.039989,0.14904,0.099808,0.051768,0.192445,1.6148
0.097348,0.15612,0.051625,0.083179,0.17672,0.18517,0.16006,0.0583319,0.17989
0.09106,0.15022,0.046354,0.075377,0.17541,0.18737,0.15624,0.0708268,0.19956
0.048499,0.087752,0.022679,0.046827,0.052971,0.036316,0.018971,0.0312158,0.18576
0.053939,0.13448,0.026094,0.052044,0.10292,0.066848,0.033413,0.112189,0.86696
0.05016,0.076824,0.026995,0.041549,0.088047,0.094844,0.08235,0.018645,0.15819
0.070007,0.1098,0.036438,0.058723,0.12255,0.13189,0.092029,0.0474573,0.32893
0.15633,0.30488,0.05756,0.10977,0.35093,0.32415,0.22777,0.156563,0.9705
0.12088,0.17196,0.064882,0.1006,0.20349,0.21524,0.20054,0.0283789,0.1301
0.057468,0.086837,0.030505,0.04792,0.10002,0.10627,0.082181,0.0198407,0.10819
0.050669,0.12595,0.022626,0.051452,0.083708,0.057517,0.030934,0.113366,0.78128
0.057736,0.15945,0.029939,0.057698,0.1189,0.084479,0.040017,0.187506,0.70518
0.056098,0.1496,0.026418,0.053562,0.15378,0.12346,0.06499,0.1024628,0.49938
0.23437,0.35429,0.11778,0.17789,0.41165,0.41319,0.35808,0.0703406,0.37426
0.084465,0.12614,0.041636,0.065974,0.14307,0.15665,0.12965,0.0331441,0.18976
0.081869,0.11024,0.044964,0.066565,0.12825,0.14327,0.1221,0.0117502,0.054573
0.1056,0.25511,0.059282,0.081135,0.29298,0.26284,0.18217,0.200431,1.6355
0.050859,0.13648,0.027536,0.044504,0.14186,0.12632,0.092643,0.154528,1.1462
0.10646,0.15544,0.056163,0.08773,0.18252,0.18258,0.17219,0.0374858,0.23426
0.07688,0.17059,0.041362,0.073058,0.17203,0.15304,0.093252,0.147213,0.39758
0.032483,0.10346,0.015703,0.032681,0.08055,0.045595,0.021819,0.115082,1.0122
0.080356,0.13288,0.043151,0.068578,0.14727,0.1469,0.13297,0.0560164,0.42283
0.010519,0.076713,0.0057794,0.014337,0.067329,0.040845,0.014129,0.121594,1.0333
0.032521,0.1659,0.016837,0.035517,0.1216,0.069291,0.027232,0.274054,1.98
0.052,0.14644,0.023985,0.047661,0.10953,0.07608,0.036435,0.145728,0.63057
0.069428,0.24106,0.033981,0.067602,0.23532,0.18769,0.10543,0.295845,1.8575
0.067843,0.10524,0.035111,0.05651,0.11744,0.124,0.10774,0.0254738,0.18654
0.022101,0.035066,0.010203,0.020384,0.020568,0.014497,0.0056294,0.001060653,0.0063526
0.04598,0.083187,0.021611,0.044637,0.051547,0.03588,0.018289,0.0424446,0.26295
0.123,0.18939,0.062491,0.093725,0.30692,0.34923,0.31382,0.0110374,0.045799
0.074443,0.1551,0.038814,0.061861,0.16752,0.15995,0.12531,0.141053,1.1798
0.1156,0.29138,0.056385,0.10639,0.29888,0.27199,0.19963,0.247885,1.5415
0.053115,0.08583,0.024929,0.049906,0.052504,0.039208,0.021807,0.0213224,0.16713
0.081362,0.15535,0.034755,0.059258,0.19302,0.19,0.15147,0.114268,0.9387
0.055963,0.12873,0.02933,0.05117,0.13365,0.11639,0.075814,0.111254,0.8101
0.035891,0.2112,0.023131,0.033916,0.19701,0.13957,0.072881,0.365288,2.2433
0.097025,0.37198,0.051857,0.090302,0.36169,0.29205,0.18838,0.446688,3.4697
0.19302,0.26708,0.07968,0.12596,0.33794,0.35636,0.31613,0.0191708,0.12567
0.10678,0.20881,0.053412,0.087199,0.22713,0.22785,0.18131,0.128854,1.0215
0.068819,0.13062,0.037177,0.058753,0.13917,0.13535,0.11271,0.12001,0.77347
0.10841,0.19088,0.039147,0.078713,0.22276,0.19401,0.13219,0.0033957,0.027906
0.046736,0.1385,0.023374,0.046818,0.10592,0.063813,0.02709,0.161249,0.84866
0.028818,0.081658,0.01593,0.031565,0.058642,0.03079,0.01316,0.0953975,0.54066
0.043216,0.079434,0.024337,0.036806,0.084659,0.081923,0.064059,0.0780186,0.71987
0.015299,0.18417,0.01059,0.025324,0.15325,0.082242,0.022452,0.387112,2.6894
0.13797,0.53616,0.055305,0.15012,0.53186,0.41318,0.26356,0.527582,3.6389
0.10923,0.19387,0.060208,0.078972,0.2472,0.24416,0.1825,0.0650056,0.34954
0.082442,0.16134,0.042086,0.066388,0.23756,0.25441,0.21693,0.0876777,0.47149
0.03955,0.060823,0.017298,0.037168,0.028943,0.020493,0.013695,0.0122573,0.059005
0.037846,0.085758,0.018205,0.036811,0.061156,0.036838,0.017214,0.0890263,0.54588
0.041874,0.14298,0.020576,0.040603,0.11686,0.069742,0.033411,0.157685,1.0101
0.085097,0.12242,0.044348,0.069284,0.14889,0.16551,0.14389,0.01050467,0.063371
0.067922,0.27638,0.038452,0.06799,0.27013,0.20715,0.1363,0.438064,2.8638
0.041253,0.06905,0.020822,0.03761,0.048272,0.039855,0.020719,0.00218218,0.011894
0.086011,0.21206,0.033299,0.080161,0.23348,0.20203,0.14274,0.193941,0.77908
0.1412,0.27876,0.071492,0.12194,0.30056,0.28829,0.21865,0.287496,1.7122
0.028758,0.10056,0.015136,0.031059,0.07076,0.043151,0.018551,0.128139,1.0126
0.055372,0.087016,0.028713,0.045701,0.097783,0.10704,0.075711,0.0191873,0.17287
0.093331,0.15934,0.049794,0.081198,0.17171,0.17083,0.11337,0.0808148,0.44161
0.025022,0.059919,0.012307,0.024933,0.066982,0.038633,0.014319,0.0167123,0.12039
0.029872,0.068343,0.014249,0.028232,0.07132,0.056467,0.030246,0.096272,0.98296
0.058562,0.092374,0.030138,0.048875,0.10988,0.11501,0.091374,0.0542047,0.376
0.015791,0.038097,0.0066792,0.017462,0.02903,0.020316,0.0104,0.0270028,0.18189
0.045559,0.074829,0.023995,0.038479,0.080957,0.082242,0.060096,0.0208032,0.17919
0.092514,0.20321,0.039248,0.076305,0.2326,0.21055,0.16089,0.2673,2.4177
0.14209,0.26447,0.07128,0.11896,0.28394,0.27983,0.22037,0.190718,1.0346
0.050383,0.13286,0.021697,0.050289,0.13486,0.10715,0.056378,0.1003585,0.52263
0.052436,0.12728,0.027293,0.043332,0.13662,0.13024,0.096018,0.0893959,0.68961
0.01727,0.099091,0.0094747,0.028615,0.07881,0.036119,0.0082457,0.232067,1.4036
0.14926,0.24746,0.080593,0.11064,0.32233,0.32423,0.24587,0.0574519,0.36773
0.081587,0.11096,0.04395,0.067001,0.13304,0.15134,0.1315,0.0115599,0.075319
0.011755,0.017911,0.0044159,0.013005,0.013028,0.00808,0.0046356,0.00600633,0.041861
0.058703,0.16654,0.032815,0.052241,0.16276,0.13561,0.078518,0.180554,1.2765
0.054491,0.1225,0.024215,0.055857,0.076029,0.050462,0.026745,0.0897215,0.49238
0.069613,0.09896,0.035973,0.057384,0.1161,0.12792,0.11136,0.00962335,0.077615
0.075784,0.11233,0.040622,0.063339,0.13159,0.13763,0.12724,0.0286517,0.15798
0.013682,0.11862,0.0071486,0.019962,0.096547,0.058973,0.023496,0.170544,1.71
0.091878,0.15405,0.042099,0.079329,0.16638,0.16423,0.13132,0.0758879,0.33129
0.06332,0.16688,0.03524,0.057468,0.167,0.1412,0.096807,0.191257,1.3958
0.063355,0.28517,0.033008,0.064076,0.26438,0.18633,0.096953,0.323202,1.9163
0.014421,0.039807,0.006853,0.014074,0.026724,0.01842,0.007031,0.0304249,0.28498
0.047855,0.16219,0.027263,0.042933,0.16076,0.13161,0.080871,0.197318,1.6667
0.03437,0.108,0.015938,0.039576,0.091915,0.077218,0.047469,0.140954,1.012
0.079901,0.13849,0.038085,0.066799,0.14421,0.12169,0.080145,0.0509289,0.32219
0.027958,0.074116,0.014575,0.032509,0.051192,0.06067,0.028986,0.0628287,0.21051
0.072049,0.12047,0.039247,0.060065,0.13461,0.12681,0.10396,0.0454443,0.31382
0.021013,0.040457,0.010011,0.019729,0.020349,0.0066423,0.0059643,0.013574,0.093988
0.24446,0.34792,0.12266,0.18337,0.41089,0.42221,0.37221,0.0223454,0.077209
0.031658,0.060939,0.014775,0.02968,0.036997,0.024036,0.0088592,0.0225511,0.16958
0.047661,0.070417,0.025278,0.03933,0.080832,0.087836,0.078072,0.0120527,0.098153
0.088727,0.21975,0.034232,0.060041,0.26118,0.23559,0.15334,0.143077,0.75851
0.058861,0.094135,0.01897,0.033723,0.10791,0.11029,0.092632,0.0166474,0.13799
0.012241,0.092909,0.0067846,0.016198,0.073579,0.036899,0.010869,0.211189,1.7533
0.032894,0.062492,0.016151,0.033419,0.041598,0.031216,0.017161,0.0648153,0.47956
0.050395,0.11522,0.024997,0.046728,0.12023,0.10768,0.064669,0.0973335,0.7161
0.040566,0.099065,0.022481,0.036973,0.099421,0.084905,0.050197,0.134728,1.0938
0.073431,0.12029,0.039499,0.063129,0.13077,0.13074,0.087075,0.0696993,0.37907
0.09006,0.12885,0.047681,0.074451,0.15064,0.16372,0.12848,0.00893211,0.04115
0.18162,0.25856,0.10042,0.14346,0.30826,0.3098,0.26512,0.021142,0.093526
0.058626,0.095149,0.030793,0.050717,0.10332,0.10218,0.066725,0.0290796,0.22509
0.03953,0.099706,0.018041,0.038399,0.066931,0.046209,0.024975,0.0903925,0.7427
0.030893,0.093716,0.016411,0.029098,0.073372,0.051275,0.022751,0.0948541,0.64149
0.035133,0.07026,0.017226,0.036024,0.040875,0.029483,0.017089,0.023639,0.1358
0.081482,0.25593,0.042591,0.074578,0.25738,0.22474,0.16259,0.225907,1.4143
0.065065,0.17816,0.036304,0.056442,0.18967,0.17872,0.13309,0.146465,0.93272
0.028024,0.05187,0.013729,0.028245,0.029403,0.022255,0.013489,0.00443168,0.036384
0.1056,0.21682,0.034959,0.064523,0.23472,0.22064,0.17269,0.133078,0.71328
0.012916,0.035463,0.0056718,0.017336,0.029981,0.017395,0.0048819,0.0702625,0.5857
0.064367,0.10498,0.034644,0.054197,0.11807,0.11814,0.10703,0.0581944,0.41481
0.059527,0.087246,0.030047,0.047915,0.10377,0.10939,0.076124,0.0162712,0.13302
0.04875,0.12152,0.022026,0.052385,0.086689,0.061011,0.031329,0.0843128,0.58
0.050735,0.30866,0.029242,0.051721,0.27629,0.19578,0.1058,0.409816,3.2517
0.021203,0.051548,0.010736,0.025103,0.033276,0.035665,0.010921,0.0362714,0.15286
0.064434,0.19743,0.034687,0.059911,0.20165,0.17287,0.12621,0.196229,1.3682
0.085423,0.22689,0.037833,0.065043,0.26338,0.24164,0.17717,0.19789,1.4937
0.0505,0.12124,0.02606,0.043199,0.12901,0.12048,0.08797,0.0932921,0.75533
0.06274,0.15719,0.034273,0.054548,0.15994,0.14034,0.10744,0.159797,1.4176
0.074931,0.26138,0.045209,0.070715,0.23388,0.1698,0.11556,0.459976,2.1732
0.038272,0.063582,0.018063,0.035997,0.038778,0.028228,0.01547,0.0175241,0.15295
0.13294,0.21094,0.055567,0.093056,0.27979,0.29402,0.24585,0.0320375,0.25582
0.049817,0.067401,0.025286,0.041724,0.080535,0.085193,0.064141,0.000265771,0.0025717
0.082662,0.13638,0.045693,0.069089,0.15067,0.15686,0.12742,0.0474727,0.25854
0.055153,0.12831,0.024777,0.053646,0.081637,0.058251,0.035003,0.0748088,0.49384
0.058014,0.1882,0.031702,0.055107,0.17652,0.13366,0.076147,0.272998,1.3909
0.054286,0.11587,0.02614,0.047579,0.12394,0.1135,0.070675,0.0954382,0.76018
0.011134,0.019612,0.0042249,0.012501,0.014922,0.0093315,0.0050501,0.0091025,0.069772
0.15357,0.38119,0.057816,0.12218,0.39035,0.29922,0.18753,0.224004,0.85582
0.11467,0.21939,0.042226,0.08142,0.26528,0.25228,0.17724,0.1056121,1.0353
0.032306,0.051339,0.014817,0.027894,0.043111,0.029328,0.018926,0.00954052,0.086166
0.11322,0.2332,0.048224,0.076813,0.25484,0.23437,0.19003,0.166991,1.3713
0.10414,0.1997,0.054132,0.096924,0.20365,0.18764,0.15498,0.212784,1.0426
0.014206,0.17605,0.0090794,0.022968,0.12526,0.058566,0.017197,0.333608,3.3095
0.051768,0.11055,0.027339,0.043633,0.11681,0.11335,0.091236,0.0674542,0.6234
0.030732,0.11541,0.018192,0.03719,0.081976,0.035937,0.013004,0.243254,1.2659
0.062568,0.10221,0.033973,0.054246,0.11012,0.10765,0.087761,0.115324,1.0277
0.075422,0.15991,0.037229,0.064589,0.15607,0.14811,0.11416,0.114301,0.65985
0.036585,0.14339,0.017572,0.039172,0.10397,0.067998,0.029895,0.141185,1.1581
0.067199,0.11331,0.035347,0.055499,0.12392,0.12936,0.088853,0.0635954,0.36269
0.03909,0.098952,0.018028,0.039294,0.066447,0.046777,0.021605,0.0750486,0.59117
0.076495,0.19717,0.036751,0.078663,0.16932,0.12901,0.062978,0.157564,0.68102
0.060484,0.15561,0.032069,0.053164,0.15305,0.128,0.082483,0.148181,0.64565
0.056315,0.087261,0.02927,0.046629,0.099132,0.1087,0.07622,0.0246466,0.18534
0.025176,0.10178,0.012543,0.027843,0.070724,0.037591,0.013024,0.14674,0.72222
0.10203,0.21135,0.037081,0.078345,0.23889,0.2032,0.13444,0.0566027,0.37287
0.080477,0.12833,0.035054,0.076592,0.064762,0.047688,0.03166,0.0364826,0.19516
0.013399,0.019831,0.0050693,0.014694,0.014691,0.0092771,0.0053273,0.00740311,0.040508
0.10862,0.23372,0.040045,0.08203,0.2514,0.20533,0.13361,0.0914265,0.71291
0.047558,0.096044,0.021922,0.04081,0.10461,0.091665,0.052592,0.0180433,0.14438
0.089337,0.16747,0.047593,0.074743,0.19046,0.19084,0.14469,0.111419,0.64837
0.14831,0.20086,0.07933,0.11305,0.26201,0.29925,0.24334,0.000733942,0.0033632
0.065161,0.1876,0.035236,0.057468,0.19227,0.16955,0.12842,0.173547,1.5145
0.033061,0.18882,0.017417,0.042948,0.12986,0.069649,0.025947,0.301433,1.8465
0.036307,0.09753,0.017389,0.033232,0.099289,0.077845,0.040352,0.0922746,0.72613
0.031739,0.070481,0.014176,0.029489,0.050728,0.03512,0.016874,0.0885511,0.45448
0.039588,0.19086,0.018986,0.050632,0.14146,0.075858,0.027906,0.273449,1.9865
0.08881,0.20057,0.047461,0.075163,0.20898,0.19567,0.15364,0.173646,1.09
0.068179,0.18446,0.038942,0.060823,0.19597,0.17281,0.13154,0.186318,1.0418
0.016256,0.040123,0.0094913,0.01791,0.030191,0.013133,0.0063721,0.0471581,0.38645
0.076114,0.11732,0.040628,0.063163,0.13099,0.13488,0.11008,0.0437437,0.31152
